,상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
2851,땡큐양양꼬치,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 조원로 75,1층 (조원동)",경기도 수원시 장안구 조원동 742-5번지 1층,조원동,16286.0,37.3000304328,127.0167532731
2852,땡큐잡어횟집,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 정조로922번길 34,1층 (영화동, 피자바지오빌딩)",경기도 수원시 장안구 영화동 164-13번지 피자바지오빌딩 1층,영화동,16269.0,37.2907575645,127.01514285569999
2853,떡군이네떡볶이 수원시청점,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 세권로138번길 13101호 (세류동),경기도 수원시 권선구 세류동 1083-11번지 하우스타 13 101호,세류동,16579.0,37.2562143442,127.01910824129999
2854,떡군이네떡볶이 장안구청점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 경수대로994번길 14,1층 우측일부 (송죽동)",경기도 수원시 장안구 송죽동 198-2번지 1층 우측일부,송죽동,16298.0,37.3060419662,127.0035122282
2855,떡깨비 영화점,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 정조로922번길 39, 1층 103호 (영화동)",경기도 수원시 장안구 영화동 164-32번지 1층 103호,영화동,16269.0,37.2910738281,127.01533262049999
2856,떡보킹,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 율전로 841층 102호 (율전동),경기도 수원시 장안구 율전동 409-5번지 1층 102호,율전동,16362.0,37.296802936300004,126.9682801659
2857,떡보킹 탑동점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 권선구 하탑로 611층 101호 (탑동, 신화빌딩)",경기도 수원시 권선구 탑동 853-5번지 신화빌딩 1층 101호,탑동,16607.0,37.269634648600004,126.9783176686
2858,떡보킹(조원점),일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 조원로 100-1(조원동),경기도 수원시 장안구 조원동 729-12번지,조원동,16282.0,37.301772019,127.01501573620001
2859,떡볶이 하우스,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 영통구 산남로 28(매탄동),경기도 수원시 영통구 매탄동 845-11번지,매탄동,16541.0,37.265517258,127.049015307
2860,떡볶이1번가,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 팔달구 팔달문로175번길 77,1층 (우만동)",경기도 수원시 팔달구 우만동 501-5번지 1층,우만동,16236.0,37.2862120941,127.0324549702
2861,떡볶이DAY,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 경수대로927번길 36-2,1층 (송죽동)",경기도 수원시 장안구 송죽동 501-4번지 1층,송죽동,16305.0,37.3006324026,127.0075308458
2862,떡볶이디자이너,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 웰빙타운로49번길 36,1층 105,105-2호 (이의동)","경기도 수원시 영통구 이의동 1204-8번지 1층 105,105-2호",이의동,16224.0,37.3039452759,127.0470933332
2863,떡볶이로드,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 팔달구 고화로 10(매산로3가),경기도 수원시 팔달구 매산로3가 127-6번지,매산로3가,16456.0,37.270537196199996,127.0080652978
2864,떡볶이박사,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 영통구 삼성로277번길 19(원천동),경기도 수원시 영통구 원천동 258-18번지,원천동,16521.0,37.2668334611,127.0634889491
2865,떡볶이스쿨,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 송정로47번길 4,1층 (송죽동)",경기도 수원시 장안구 송죽동 398-31번지 1층,송죽동,16306.0,37.2962755132,127.0024594288
2866,떡볶이와튀김범벅,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 금당로39번길 34제상가 101호 (조원동, 주공뉴타운)",경기도 수원시 장안구 조원동 861번지 주공뉴타운 상가 101호,조원동,16281.0,37.303903176700004,127.0181728367
2867,떡볶이의품격,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 매탄로 210-1,1층 (매탄동)",경기도 수원시 영통구 매탄동 200-10번지 1층,매탄동,16540.0,37.2689449075,127.0472692189
2868,떡볶이참잘하는집떡참매탄점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 영통구 매봉로27번길 20-14,1층 (매탄동)",경기도 수원시 영통구 매탄동 1206번지 1층,매탄동,16525.0,37.2712704455,127.05199250780001
2869,떡볶이클럽,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 동수원로242번길 23,101호 (권선동)",경기도 수원시 권선구 권선동 1295-5번지 101호,권선동,16553.0,37.250981090399996,127.0358864293
2870,떡순튀,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 월드컵로311번길 39,1층 상가 우측 (우만동)",경기도 수원시 팔달구 우만동 522-20번지 1층 상가 우측,우만동,16238.0,37.2848798488,127.0329144567
2871,떡슐랭 수원정자점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 대평로 86, 208호 (정자동)",경기도 수원시 장안구 정자동 877-1번지 208호,정자동,16334.0,37.296002243800004,126.9932883543
2872,떡슐랭 아주대점,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 팔달구 아주로 45-3,2층 (우만동)",경기도 수원시 팔달구 우만동 573-5번지 2층,우만동,16497.0,37.2789086792,127.0434532363
2873,떡싸롱파장점,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 장안구 파장로68번길 8(파장동),경기도 수원시 장안구 파장동 582-26번지,파장동,16349.0,37.3062692368,126.9933323111
2874,떡이랑닭이랑,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 경수대로 940,105호 (조원동,일호골든타워)",경기도 수원시 장안구 조원동 894번지 일호골든타워 105호,조원동,16295.0,37.3031494595,127.0080560562
2875,떡장곡반정점,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 권선구 동수원로146번길 192-12(곡반정동),경기도 수원시 권선구 곡반정동 526-14번지,곡반정동,16667.0,37.2426846338,127.03267888709999
2876,떡킹,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 향교로 86(매산로3가),경기도 수원시 팔달구 매산로3가 35-22번지,매산로3가,16457.0,37.2706532656,127.0099706885
2877,떳구나고기부페,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 정조로712번길 22(구천동),경기도 수원시 팔달구 구천동 66-2번지,구천동,16264.0,37.2727473825,127.0172548127
2878,떳구나고기부페,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 정조로712번길 22,1층 (구천동)",경기도 수원시 팔달구 구천동 66-2번지 1층,구천동,16264.0,37.2727473825,127.0172548127
2879,떳다돼지마을,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 매교동83-2번지,경기도 수원시 팔달구 매교동 83-2번지,매교동,16465.0,37.2688885759,127.0148432478
2880,떳다솥뚜껑삼겹살,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 매탄로 142,107호 (매탄동,양성프라자)",경기도 수원시 영통구 매탄동 1233-2번지 양성프라자 107호,매탄동,16544.0,37.263299463,127.0442128733
2881,떴다 송탄부대찌개,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 파장로 19,1층(송죽동)",경기도 수원시 장안구 송죽동 277-26번지 1층,송죽동,16301.0,37.3042702861,126.9980624274
2882,떼루와,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 세지로270번길 6,D동 101호 (인계동,네오하이츠빌)",경기도 수원시 팔달구 인계동 742-4번지 네오하이츠빌 D동 101호,인계동,16472.0,37.2751093339,127.0240075142
2883,또그랑,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 동말로68번길 14(화서동),경기도 수원시 팔달구 화서동 109-1번지,화서동,16442.0,37.2781983025,127.0014278699
2884,또또 지짐이,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 영통구 신원로250번길 10(매탄동),경기도 수원시 영통구 매탄동 495-8번지,매탄동,16676.0,37.257475130100005,127.0605545434
2885,또또랜드,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 팔달구 정조로 856,2층 (북수동, 전기빌딩)",경기도 수원시 팔달구 북수동 190-1번지 전기빌딩 2층,북수동,16253.0,37.2844880674,127.0161645323
2886,또또와분식,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 영통구 도청로 95,101동 B1-105호 (이의동)",경기도 수원시 영통구 이의동 1351-6번지 101동 B1-105호,이의동,16509.0,37.2909225156,127.0477016625
2887,또또치킨&골뱅이,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 조원로58번길 6-33(조원동),경기도 수원시 장안구 조원동 519-180번지,조원동,16280.0,37.2991343294,127.0202680894
2888,또래또래분식,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 권선구 권중로 136상가동 109호 (권선동,신동아대원아파트)",경기도 수원시 권선구 권선동 1274번지 신동아대원아파트 상가동 109호,권선동,16559.0,37.2487687846,127.0326074888
2889,또래오래,일반휴게음식-주점,일반휴게음식,주점,경기 수원시 장안구 영화로26번길 18(영화동),경기도 수원시 장안구 영화동 432-2번지,영화동,16270.0,37.2895835648,127.010231526
2890,또래오래,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 권선구 세류2동1148-3번지,경기도 수원시 권선구 세류2동 1148-3번지,세류2동,16658.0,37.2488996716,127.0158283901
2891,또래오래,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 장안구 금당로38번길 19(조원동),경기도 수원시 장안구 조원동 732번지,조원동,16282.0,37.3026285464,127.0150666547
2892,또래오래,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 권선구 구운로 17-4(구운동),경기도 수원시 권선구 구운동 512-7번지,구운동,16410.0,37.276709654099996,126.9760692749
2893,또래오래 (고색점),일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 권선구 고산로27번길 3-3,1층 (고색동)",경기도 수원시 권선구 고색동 72-6번지 1층,고색동,16650.0,37.2488630121,126.98161810319999
2894,또래오래 우만점,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 세지로 410,1층(우만동)",경기도 수원시 팔달구 우만동 505-11번지 1층,우만동,16237.0,37.285706064,127.029863419
2895,"또래오래(매탄1,2점)",일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 영통구 매영로 331층(매탄동),경기도 수원시 영통구 매탄동 198-73번지 1층,매탄동,16524.0,37.2695998884,127.0464757793
2896,또래오래권선점,일반휴게음식-주점,일반휴게음식,주점,경기 수원시 권선구 권광로56번길 16(권선동),경기도 수원시 권선구 권선동 1259-2번지,권선동,16556.0,37.2526678415,127.0293245536
2897,또래오래치킨,일반휴게음식-주점,일반휴게음식,주점,경기 수원시 장안구 대평로89번길 32백석마을주공상가동 102호 일부(정자동),경기도 수원시 장안구 정자동 871-4번지 백석마을주공 상가동 102호 일부,정자동,16333.0,37.295944532,126.99034394700001
2898,또래오래치킨 목우촌참피자,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 율전로101번길 49,1층 (율전동)",경기도 수원시 장안구 율전동 360-7번지 1층,율전동,16361.0,37.2986056272,126.9662590803
2899,또래오래치킨점,일반휴게음식-칵테일바,일반휴게음식,칵테일바,경기 수원시 영통구 매탄로140번길 54-1(매탄동),경기도 수원시 영통구 매탄동 1250-1번지,매탄동,16544.0,37.2624357775,127.04699240709999
2900,또먹고식당,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 영통구 매탄로79번길 5-9(매탄동),경기도 수원시 영통구 매탄동 1272-4번지,매탄동,16546.0,37.257746564099996,127.0417992109
2901,또바기반찬,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 경수대로466번길 52,101호(인계동)",경기도 수원시 팔달구 인계동 1034-3번지 드라마시티 101호,인계동,16489.0,37.2666685379,127.02983518100001
