상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
우사미,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 경수대로466번길 20,1층(인계동,대지빌딩)",경기도 수원시 팔달구 인계동 1020-4번지 대지빌딩 1층,인계동,16489,37.2672116,127.0281288
우성토종순대국,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 고산로4번길 61층 (고색동,스타빌딩)",경기도 수원시 권선구 고색동 659-2번지 스타빌딩 61층,고색동,16649,37.24681376,126.9829739
우소반,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 오목천로129 (고색동),경기도 수원시 권선구 고색동 913-7번지,고색동,16641,37.24417163,126.974547
우솔촌,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 덕영대로1145번길 33,1층(세류동)",경기도 수원시 권선구 세류동 1107-25번지 1층,세류동,16589,37.25275341,127.016999
우수한형제들 refresh,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 덕영대로1556번길 16,E동 133호 (영통동, 디지털엠파이어빌딩)",경기도 수원시 영통구 영통동 980-3번지 디지털엠파이어빌딩 E동 133호,영통동,16690,37.24536078,127.06067
우식,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 영통구 인계로 273(매탄동),경기도 수원시 영통구 매탄동 866-16번지,매탄동,16541,37.26379866,127.0474579
우아만두,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 세류로 51-1,1동 101호 (세류동)",경기도 수원시 권선구 세류동 230-41번지 1동 101호,세류동,16461,37.26399185,127.0077695
우야꼬,일반휴게음식-일식?회집,일반휴게음식,일식?회집,"경기 수원시 장안구 하률로12번길 86(천천동,골든프라자)",경기도 수원시 장안구 천천동 571-5번지 골든프라자,천천동,16324,37.30091719,126.9772554
우연,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 파장천로 12(파장동),경기도 수원시 장안구 파장동 589번지,파장동,16350,37.30669703,126.9942999
우연,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 세권로137번길 14(권선동),경기도 수원시 권선구 권선동 994-6번지,권선동,16564,37.25745192,127.0197657
우와돈,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 장안구 만석로5번길 6,201호 (천천동, 세화프라자)",경기도 수원시 장안구 천천동 528-1번지 세화프라자 201호,천천동,16329,37.29526306,126.9828569
우장군,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 장다리로 31(세류동,동원빌딩)",경기도 수원시 권선구 세류동 1104-19번지 동원빌딩,세류동,16589,37.25350757,127.0184714
우재초밥,일반휴게음식-일식?회집,일반휴게음식,일식?회집,"경기 수원시 영통구 반달로35번길 30, 1층 102호 (영통동)",경기도 수원시 영통구 영통동 1012-1번지 영통역아이파크 1층 102호,영통동,16705,37.25177673,127.0774568
우전옥 간장게장,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 파장천로12번길 94(송죽동),경기도 수원시 장안구 송죽동 443-4번지,송죽동,16300,37.30457957,126.9987261
우정백반,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 경수대로507번길 20(인계동),경기도 수원시 팔달구 인계동 961-11번지,인계동,16481,37.27164239,127.0271085
우정분식,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 권선구 덕영대로 1066(세류동),경기도 수원시 권선구 세류동 440-8번지,세류동,16654,37.25499922,127.008561
우정순대국,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기도 수원시 권선구 매송고색로 755,1층 105,106호(고색동,중앙스포츠랜드)","경기도 수원시 권선구 고색동 27-1번지 중앙스포츠랜드 1층 105,106호",고색동,16602,37.25284344,126.9869696
우정심,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기도 수원시 영통구 영통로 195,121,122호 (망포동)","경기도 수원시 영통구 망포동 322-3번지 121,122호",망포동,16689,37.24516233,127.0558003
우주국수/유한책임회사 우주가,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 향교로 1381층 101호 (교동, 보성빌딩)",경기도 수원시 팔달구 교동 97-1번지 보성빌딩 1층 101호,교동,16463,37.27303585,127.0150535
우주라이크 커피숍,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 반달로7번길 40,1층 114-1호 (영통동)",경기도 수원시 영통구 영통동 998-1번지 1층 114-1호,영통동,16704,37.25354446,127.0752142
우주라이크앤 광교신도시점,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 대학로 34,1층 110호 (이의동)",경기도 수원시 영통구 이의동 1258-4번지 1층 110호,이의동,16226,37.29928078,127.0436235
우주라이크커피 서수원점,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 권선구 산업로 180,119호 (고색동,DH테크타워)",경기도 수원시 권선구 고색동 1094번지 DH테크타워 119호,고색동,16648,37.24241103,126.9841427
우주샐러드,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 영통구 신원로 146102호 (신동),경기도 수원시 영통구 신동 340-7번지 102호,신동,16679,37.24948466,127.0570378
우주족발,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 장다리로 331층 (세류동),경기도 수원시 권선구 세류동 1104-18번지 1층,세류동,16589,37.25361587,127.0185046
우즈베키스탄식당,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 매산로 2-10역전시장 다문화푸드랜드 지하 (매산로1가),경기도 수원시 팔달구 매산로1가 57-3번지 역전시장 다문화푸드랜드 지하,매산동,16461,37.26627677,127.0023524
우진김밥,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 팔달로279번길 4,1층 (영화동)",경기도 수원시 장안구 영화동 165-3번지 1층,영화동,16269,37.29010858,127.015147
우찾사,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 금곡로102번길 15,204~207호  (금곡동)",경기도 수원시 권선구 금곡동 1085번지 204~207호,금곡동,16388,37.27351567,126.9418698
우촌,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 대학1로8번길 128,1층 (이의동)",경기도 수원시 영통구 이의동 1243-3번지 1층,이의동,16226,37.29871993,127.0478017
우촌칡냉면,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 권중로56번길 39(권선동),경기도 수원시 권선구 권선동 1255번지,권선동,16556,37.25307274,127.0291416
우특심한우곱창(장안구율전점),일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 율전로90-10 (율전동) 1층,경기도 수원시 장안구 율전동 433-7번지 1층,율전동,16362,37.29740973,126.968919
우향,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 서호로 121(서둔동),경기도 수원시 권선구 서둔동 106-13번지,서둔동,16615,37.27023762,126.9863441
운동장,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 송원로14번길 521층 (송죽동),경기도 수원시 장안구 송죽동 389-1번지 1층,송죽동,16307,37.29636266,127.0082131
운동장 (두번째이야기),일반휴게음식-주점,일반휴게음식,주점,"경기 수원시 장안구 송원로 39,102호 101 (송죽동,월드타워)",경기도 수원시 장안구 송죽동 503-16번지 월드타워 102호 101,송죽동,16305,37.29918698,127.0067617
운동장로타리식당,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 정조로 1029(송죽동),경기도 수원시 장안구 송죽동 380-2번지,송죽동,16307,37.29816041,127.0070054
운멜로,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 화서문로32번길 4,2층 (신풍동)",경기도 수원시 팔달구 신풍동 114-2번지 2층,신풍동,16258,37.28476629,127.0114811
운멜로랩,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 화서문로16번길 15,1층 (신풍동)",경기도 수원시 팔달구 신풍동 120-1번지 1층,신풍동,16258,37.28462353,127.0096545
운봉농장,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 영통구 중부대로 236(매탄동),경기도 수원시 영통구 매탄동 153-116번지,매탄동,16530,37.27519659,127.0415468
운빠스또,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 덕영대로735번길 68,1층 (화서동)",경기도 수원시 팔달구 화서동 246-11번지 1층,화서동,16436,37.2826892,126.9955097
운암명가 부대찌개,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 수성로258번길 3202호 메가플러스 (영화동),경기도 수원시 장안구 영화동 398-1번지 메가플러스 202호,영화동,16274,37.28957225,127.0010482
운암명가부대찌개,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 효원로 363, 303상가B동204,204-1호(매탄동,매탄위브하늘채아파트)","경기도 수원시 영통구 매탄동 1352번지 매탄위브하늘채아파트 303상가B동204,204-1호",매탄동,16543,37.26323685,127.0420028
